,COMUNSVOIM,2013_share_mortes_criança,2013_share_mortes_jovem,2013_share_mortes_meia-idade,2013_share_mortes_idoso,2013_share_mortes_X,2013_share_mortes_Y,2013_share_mortes_R,2013_share_mortes_Outro,2014_share_mortes_criança,2014_share_mortes_jovem,2014_share_mortes_meia-idade,2014_share_mortes_idoso,2014_share_mortes_X,2014_share_mortes_Y,2014_share_mortes_R,2014_share_mortes_Outro,2015_share_mortes_criança,2015_share_mortes_jovem,2015_share_mortes_meia-idade,2015_share_mortes_idoso,2015_share_mortes_X,2015_share_mortes_Y,2015_share_mortes_R,2015_share_mortes_Outro,2016_share_mortes_criança,2016_share_mortes_jovem,2016_share_mortes_meia-idade,2016_share_mortes_idoso,2016_share_mortes_X,2016_share_mortes_Y,2016_share_mortes_R,2016_share_mortes_Outro,2017_share_mortes_criança,2017_share_mortes_jovem,2017_share_mortes_meia-idade,2017_share_mortes_idoso,2017_share_mortes_X,2017_share_mortes_Y,2017_share_mortes_R,2017_share_mortes_Outro,2018_mortes_total,2018_mortes_mulher,2018_share_mortes_criança,2018_share_mortes_jovem,2018_share_mortes_meia-idade,2018_share_mortes_idoso,2018_share_mortes_X,2018_share_mortes_Y,2018_share_mortes_R,2018_share_mortes_Outro,id,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,2013_mortes_total_norm,2013_mortes_mulher_norm,2014_mortes_total_norm,2014_mortes_mulher_norm,2015_mortes_total_norm,2015_mortes_mulher_norm,2016_mortes_total_norm,2016_mortes_mulher_norm,2017_mortes_total_norm,2017_mortes_mulher_norm
502,510785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510785,10951,11039,11125,11209,11290,9.131586156515387e-05,0.0,9.058791557206268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,510787,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510787,20934,21811,22665,23496,24305,0.00028661507595299513,4.776917932549919e-05,9.169685021319517e-05,0.0,4.412089124200309e-05,4.412089124200309e-05,4.256043581886278e-05,0.0,4.114379757251594e-05,0.0
504,510790,0.0,0.5714285714285714,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.5,0.1,0.8,0.0,0.0,0.2,0.0,0.375,0.625,0.0,0.75,0.125,0.0,0.125,0.0,0.5,0.4166666666666667,0.08333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,79.0,14.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,510790,123634,126817,129916,132934,135874,0.0008573693320607599,5.661872947571056e-05,0.00096990151162699,7.885378143308862e-05,0.0005157178484559254,6.157825056190153e-05,0.0005265770984097371,9.027035972738352e-05,0.000706536938634323,8.09573575518495e-05
505,510792,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,72.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,510792,75104,77735,80298,82792,85223,0.0004393907115466553,3.994461014060503e-05,0.0006818035633884351,7.718530906284171e-05,0.0006475877356845749,8.717527211138509e-05,0.0006884723161658131,2.4156923374239057e-05,0.0007627049036058342,4.693568637574364e-05
506,510795,0.0,0.25,0.75,0.0,0.625,0.375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.4,0.5,0.1,0.8,0.2,0.0,0.0,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.0,54.0,9.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,510795,90252,92298,94289,96932,98828,0.0005318441696582901,8.864069494304836e-05,0.00036837201239463475,2.166894190556675e-05,0.0005196788596761022,2.1211382027596007e-05,0.00048487599554326746,0.00010316510543473776,0.0005464038531590238,5.059294936657627e-05
507,520110,0.034482758620689655,0.5172413793103449,0.3793103448275862,0.06896551724137931,0.8620689655172413,0.13793103448275862,0.0,0.0,0.0,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.8235294117647058,0.17647058823529413,0.0,0.0,0.058823529411764705,0.5882352941176471,0.35294117647058826,0.0,0.8823529411764706,0.11764705882352941,0.0,0.0,0.0,0.43478260869565216,0.43478260869565216,0.13043478260869565,0.8695652173913043,0.13043478260869565,0.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.0,0.0,0.0,0.0,208.0,14.0,0.07142857142857142,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.8571428571428571,0.14285714285714285,0.0,0.0,520110,357402,361991,366491,370875,375142,0.0007666437233143631,8.114112400042529e-05,0.0006326124130157932,4.696249354265714e-05,0.0005948304323980671,4.6385859407188715e-05,0.0007630603302999663,6.201550387596899e-05,0.000725058777742828,4.798183088004009e-05
508,520140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5862068965517241,0.3793103448275862,0.034482758620689655,0.8275862068965517,0.034482758620689655,0.0,0.06896551724137931,364.0,21.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.9047619047619048,0.047619047619047616,0.0,0.0,520140,500619,511323,521910,532135,542090,1.997527061497866e-06,0.0,1.9557109693872563e-06,0.0,3.832078327681018e-06,0.0,0.00011463256504458455,3.7584447555601494e-06,0.0007471084137320371,5.34966518474792e-05
509,520170,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.25,0.5,0.25,1.0,0.0,0.0,0.0,520170,19267,19426,19583,19736,19884,0.00041521772979706236,5.1902216224632795e-05,0.0004632966127869865,0.00015443220426232884,0.00035745289281519685,5.106469897359955e-05,0.00045601945683015807,5.066882853668423e-05,0.0005532086099376383,5.0291691812512574e-05
510,520180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520180,9108,9278,9444,9607,9765,0.00021958717610891525,0.0,0.0,0.0,0.00010588733587462939,0.0,0.0,0.0,0.0,0.0
511,520440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520440,17773,17962,18148,18329,18505,5.6265121251336294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
